15
0, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 12, 11, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 12, 0, 12, 0, 0, 8, 16, 0, 0, 0, 0, 0, 0, 0, 
0, 11, 12, 0, 0, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 14, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 6, 4, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 
0, 0, 8, 3, 0, 0, 0, 0, 16, 6, 0, 0, 0, 0, 0, 
0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 0, 13, 0, 0, 0, 
0, 0, 0, 0, 6, 12, 16, 0, 0, 13, 1, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 6, 8, 13, 0, 11, 11, 5, 10, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 0, 0, 0, 15, 4, 
0, 0, 0, 0, 0, 0, 0, 13, 0, 11, 0, 0, 11, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 11, 0, 5, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 0, 5, 0, 7, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 0, 
